word,meaning,sort,title,phonetic,english_meaning,example
cruel,adj. 残酷的，残忍的，残暴的,3,Chapter 3 动物保护,/ˈkruːəl/,Something that is cruel hurts or harms others in a very harsh way. It shows no kindness or mercy.,"For example, if someone kicks a dog without any reason, that is a cruel thing to do."
derive,v. 得到；(使)源自,3,Chapter 3 动物保护,/dɪˈraɪv/,"To get something from another thing, or to come from a source.","For example, the taste of a fruit can come from the way it grows in the sun."
originate,v. 发源，来自；创始,3,Chapter 3 动物保护,/əˈrɪdʒɪneɪt/,"To come from a place or person, especially the beginning of something.","For example, the river starts in the mountains and flows down to the sea."
stem,v. 起源于，来自 n. 茎，梗,3,Chapter 3 动物保护,/stem/,"To come from something or someone, or the part of a plant that connects the roots to the leaves.","For example, many plants have a stem that helps carry water from the roots to the leaves."
ancestor,n. 祖宗，祖先,3,Chapter 3 动物保护,/ˈænsestə(r)/,"A person who lived a long time ago and is the parent of your parents, like your grandparents or even older.","For example, your grandfather's father is your ancestor."
descendant,n. 后裔，后代 adj. 下降的,3,Chapter 3 动物保护,/dɪˈsendənt/,A person who is a member of a family that lived a long time ago.,"For example, a child is a descendant of their parent."
offspring,n. [ 单复数同形 ] 后代，子孙；产物,3,Chapter 3 动物保护,/ˈɒfsprɪŋ/,"The children or young of an animal or person, or something that is created or produced.","For example, a dog's babies are called its offspring."
subgroup,n. 子群,3,Chapter 3 动物保护,/ˈsʌbɡruːp/,A subgroup is a smaller group that is part of a bigger group. It is a part of something larger.,"For example, in a class of students, the boys can be a subgroup and the girls can be another subgroup."
feed,v. 供养；喂，饲养；进食,3,Chapter 3 动物保护,/fiːd/,"To give food to someone or something, or to provide support to keep them alive or healthy.","For example, a farmer gives food to his cows every morning."
breed,v. 饲养；繁殖 n. 品种,3,Chapter 3 动物保护,/briːd/,"To take care of animals and help them have babies. Also, a group of animals or plants that have similar features.","For example, farmers breed cows to get more milk from them."
interbreed,v.(使)品种间杂交，(使)生混种,3,Chapter 3 动物保护,/ˌɪntəˈbriːd/,To mix different types of animals or plants so that they have babies together.,"For example, horses and donkeys can have a baby called a mule."
hybridise,(= hybridize) v.(使)杂交,3,Chapter 3 动物保护,/ˈhaɪbrɪdaɪz/,"To mix two different things to create something new, usually plants or animals.","For example, people can mix two different types of flowers to make a new kind of flower."
proliferate,v. 迅速增殖；剧增,3,Chapter 3 动物保护,/prəˈlɪfəreɪt/,"To grow or increase very quickly, especially in number","For example, more and more people start using smartphones every year."
sterility,n. 不生育,3,Chapter 3 动物保护,/stəˈrɪləti/,"The state of not being able to have children, either because of a medical problem or something else.","For example, some people might have trouble having babies because their body cannot make a baby grow inside."
mate,n.伙伴；［构成复合词］同伴,3,Chapter 3 动物保护,/meɪt/,"A person who you spend time with and trust, like a friend.","For example, my best friend is my mate at school."
courtship,n. 求偶,3,Chapter 3 动物保护,/ˈkɔːtʃɪp/,The way animals or people show they like each other and try to get a partner.,"For example, a male bird sings songs to attract a female bird."
lay,v. 产(卵)；放置；铺设,3,Chapter 3 动物保护,/leɪ/,To put something in a certain place or position,"For example, she laid the book on the table."
hatch,v.孵化  n. 舱口,3,Chapter 3 动物保护,/hætʃ/,"To hatch means to come out of an egg, usually for a baby animal. It can also mean a door in a ship or plane.","For example, a chicken hatches from its egg after about three weeks."
brood,n. 一窝幼鸟 v. 孵(蛋),3,Chapter 3 动物保护,/bruːd/,A group of young birds that are born at the same time from the same parents.,"For example, a hen has five eggs and they all hatch into baby chickens, which is called a brood."
spawn,n.(鱼、蛙等的)卵 v. 产卵；引起,3,Chapter 3 动物保护,/spɔːn/,It is the eggs that a fish or frog lays. It can also mean to produce eggs.,"For example, a fish lays its eggs in the water, and those eggs are called spawn."
mature,adj. 成熟的 v. 成熟,3,Chapter 3 动物保护,/məˈtʃʊə(r)/,"Something or someone that is mature is grown up, wise, and able to make good decisions.","For example, a mature person knows how to handle problems calmly instead of getting angry."
skin,n. 皮肤；外皮,3,Chapter 3 动物保护,/skɪn/,The outside layer of your body that covers your skin and protects you.,"For example, when you get a small cut, it hurts because the outside layer is damaged."
claw,n. 爪；钳；螯；爪状物,3,Chapter 3 动物保护,/klɔː/,"A sharp part on the foot of some animals, like a cat or bird, used for catching food or scratching things.","For example, a cat uses its sharp parts on its paws to climb trees."
paw,n.(动物的)脚掌，爪子,3,Chapter 3 动物保护,/pɔː/,It is the bottom part of an animal's leg that touches the ground when it walks.,"For example, a cat uses its to walk and climb trees."
beak,n. 鸟嘴，喙,3,Chapter 3 动物保护,/biːk/,"The part of a bird that it uses to eat and talk, like a mouth.","For example, a pigeon uses its to pick up food from the ground."
fin,n. 鳍,3,Chapter 3 动物保护,/fɪn/,A part of a fish or a boat that helps it move through water.,"For example, a fish uses its fin to swim smoothly in the ocean."
wing,n. 翼，翅膀,3,Chapter 3 动物保护,/wɪŋ/,A part of a bird or insect that helps it fly.,"For example, a bird uses its to fly high in the sky."
plume,n. 羽毛,3,Chapter 3 动物保护,/pluːm/,"A soft, long feather from a bird, especially one that is used for decoration.","For example, a bird might have a long, colorful feather on its head that looks like a small flag."
feather,n. 羽毛，翎毛,3,Chapter 3 动物保护,/ˈfeðə(r)/,"A light, soft part from a bird's body that helps it fly and stay warm.","For example, a bird uses its to stay warm in the cold weather."
fur,n.(动物的)软毛；(用于制衣等的)毛皮,3,Chapter 3 动物保护,/fɜː(r)/,It is the soft hair that covers the body of an animal.,"For example, a fox has thick soft hair that keeps it warm in the cold."
bristle,n. 鬃毛；(刷子的)毛,3,Chapter 3 动物保护,/ˈbrɪs(ə)l/,"It is a stiff hair or fiber, usually found on an animal or part of a brush.","For example, the stiff hairs on a toothbrush are called bristle."
curl,n. 鬈发；卷曲；螺旋状物 v.(使)卷曲,3,Chapter 3 动物保护,/kɜːl/,A way that hair or something else bends in a circle shape,"For example, she has long hair that bends in small circles at the ends."
insect,n. 昆虫,3,Chapter 3 动物保护,/ˈɪnsekt/,A small animal with six legs and a body divided into three parts.,"For example, a butterfly is a small animal that flies and has wings."
worm,n. 蠕虫,3,Chapter 3 动物保护,/wɜːm/,"A small, thin animal that lives in the soil and moves by twisting its body.","For example, you might find one in the dirt when you dig in a garden."
pest,n. 害虫；有害动物,3,Chapter 3 动物保护,/pest/,"A small animal or insect that harms plants, crops, or people.","For example, a cockroach is a type of pest that can make a home dirty and spread disease."
parasite,n. 寄生虫,3,Chapter 3 动物保护,/ˈpærəsaɪt/,A creature that lives on or inside another living thing and takes food or help from it without giving anything back.,"For example, a tick that attaches to a dog and drinks its blood is a creature that lives off the dog."
spider,n. 蜘蛛,3,Chapter 3 动物保护,/ˈspaɪdə(r)/,A small animal with eight legs that makes webs to catch insects.,"For example, a tiny creature hanging in a web on a tree is a spider."
butterfly,n. 蝴蝶 adj. 蝶状的,3,Chapter 3 动物保护,/ˈbʌtəflaɪ/,A butterfly is a colorful insect that flies and has two pairs of wings. It starts as a caterpillar and changes into a butterfly when it grows up.,"For example, you might see a butterfly flying around flowers in a garden."
mosquito,n. 蚊子,3,Chapter 3 动物保护,/məˈskiːtəʊ/,A small flying insect that bites people and animals to drink their blood.,"For example, you might see one buzzing around your head when you are outside in the summer."
cricket,n.板球,3,Chapter 3 动物保护,/ˈkrɪkɪt/,"A game played with a ball and bat, where two teams take turns trying to score points by hitting the ball.","For example, players hit a ball with a bat and run between two bases to get points."
penguin,n. 企鹅,3,Chapter 3 动物保护,/ˈpeŋɡwɪn/,"A type of bird that lives in cold places and cannot fly, but it can swim very well in water.","For example, you might see one walking on ice or swimming in the ocean near Antarctica."
seal,n. 海豹；封条；图章 v. 密封,3,Chapter 3 动物保护,/siːl/,A seal is a small animal that lives in the ocean and a piece of paper that shows something is closed.,"For example, a postman puts a seal on a letter to show it has been opened."
tortoise,n. 龟，陆龟,3,Chapter 3 动物保护,/ˈtɔːtəs/,A type of animal that has a hard shell on its back and moves very slowly.,"For example, a big animal with a shell that lives in the desert and takes a long time to walk."
turtle,n. 海龟,3,Chapter 3 动物保护,/ˈtɜːt(ə)l/,A type of animal that lives in the ocean and has a hard shell on its back.,"For example, a big animal with a shell that swims in the sea and lays eggs on the beach."
whale,n. 鲸鱼 v. 捕鲸；猛击,3,Chapter 3 动物保护,/weɪl/,A large sea animal that lives in the ocean and breathes air.,"For example, a blue whale is the biggest animal that ever lived."
kangaroo,n. 袋鼠,3,Chapter 3 动物保护,/ˌkæŋɡəˈruː/,A big animal that lives in Australia and jumps on its back legs. It has a pouch to carry its baby.,"For example, people often see this animal in movies set in Australia."
camel,n. 骆驼,3,Chapter 3 动物保护,/ˈkæm(ə)l/,A large animal that lives in deserts and has a hump on its back. It can carry heavy things and live for a long time without water.,"For example, people use this animal to travel across the hot sand in the desert."
panda,n. 熊猫,3,Chapter 3 动物保护,/ˈpændə/,A big black and white animal that lives in China and eats bamboo.,"For example, people like to watch a cute animal that sleeps a lot and has fluffy fur."
elephant,n. 象,3,Chapter 3 动物保护,/ˈelɪfənt/,A large animal with a long nose and big ears that lives in Africa and Asia.,"For example, an animal with a trunk that uses its nose to drink water."
trunk,n. 象鼻,3,Chapter 3 动物保护,/trʌŋk/,"It is the long, flexible nose of an elephant that it uses to pick things up.","For example, an elephant uses its to drink water and grab leaves."
ivory,n. 象牙,3,Chapter 3 动物保护,/ˈaɪvəri/,"It is a hard, white material from the teeth of some animals, like elephants.","For example, people sometimes make beautiful carvings from this material."
horn,n.(牛、羊等动物的)角；(乐器)号,3,Chapter 3 动物保护,/hɔːn/,"A long, hard part on the head of some animals like cows or sheep. It is also a type of musical instrument that makes a loud sound.","For example, a cow has two on its head, and a musician can play a to make a loud noise."
bear,v.生(孩子)；窑忍；承担(责任),3,Chapter 3 动物保护,/beə(r)/,To have a baby or to handle something difficult and keep going,"For example, a woman can have a baby, or you can handle a hard situation and not give up."
wolf,n. 狼,3,Chapter 3 动物保护,/wʊlf/,A large wild animal that lives in forests and hunts other animals for food.,"For example, a group of these animals might chase a deer in the woods."
dragon,n. 龙；悍妇,3,Chapter 3 动物保护,/ˈdræɡən/,"A dragon is a big, magical animal that people in some countries believe lives in the sky or under the ground. It is often shown with wings and a long body.","For example, in China, people celebrate the Dragon Festival to honor this special creature."
fox,n. 狐狸；狡猾的人,3,Chapter 3 动物保护,/fɒks/,A fox is a small animal with a red coat and a long tail. It is also used to describe someone who is clever or tricky.,"For example, the story of the fox and the rabbit shows how a clever animal can trick others."
cub,n. 幼兽,3,Chapter 3 动物保护,/kʌb/,A young animal that is not yet grown up.,"For example, a baby tiger is called a cub."
calf,n. 幼兽；小牛,3,Chapter 3 动物保护,/kɑːf/,A young animal that is born from a cow or other large animal.,"For example, a baby cow is called a calf."
pup,n. 幼小动物,3,Chapter 3 动物保护,/pʌp/,A young animal that is still very small and needs care from its mother.,"For example, a baby dog is called a pup."
lamb,n. 小羊，羔羊,3,Chapter 3 动物保护,/læm/,A young sheep that is less than one year old.,"For example, a baby goat is not a lamb, but a baby sheep is called a lamb."
cattle,n. 牛,3,Chapter 3 动物保护,/ˈkæt(ə)l/,"It is a type of animal that people keep on farms. They are often used for milk, meat, or to help with work.","For example, farmers take care of large groups of them in fields."
ox,n.(阉割的)公牛,3,Chapter 3 动物保护,/ɒks/,A male cow that has been cut to make it easier to control.,"For example, farmers sometimes do this to bulls so they don't get too aggressive."
bull,n. 公牛,3,Chapter 3 动物保护,/bʊl/,A bull is a male cow that is older than a calf. It is usually strong and has horns.,"For example, the farmer keeps a bull to help with work on the farm."
buffalo,n. 水牛；野牛,3,Chapter 3 动物保护,/ˈbʌfələʊ/,A large animal that lives in open areas and has big horns.,"For example, a group of these animals might run across a field when they hear a loud noise."
horse,n. 马,3,Chapter 3 动物保护,/hɔːs/,A large animal that lives in a stable and is often ridden or used to pull things.,"For example, a farmer uses one to help carry heavy items from one place to another."
zebra,n. 斑马,3,Chapter 3 动物保护,/ˈzebrə/,A zebra is a large animal that lives in Africa. It has black and white stripes on its body.,"For example, a zebra runs fast to stay safe from lions."
donkey,n. 驴；傻瓜,3,Chapter 3 动物保护,/ˈdɒŋkɪ/,A donkey is a large animal that people ride or use to carry things. It is also sometimes used to call someone a foolish person.,"For example, a farmer might use a donkey to carry heavy bags from the market."
saddle,n. 鞍，马鞍；车座,3,Chapter 3 动物保护,/ˈsæd(ə)l/,It is the part you sit on when you ride a horse or a bicycle.,"For example, a rider sits on the part of the horse that is called the saddle."
harness,v. 控制，利用,3,Chapter 3 动物保护,/ˈhɑːnɪs/,To use something in a way that helps you get what you want.,"For example, you can harness the power of the sun to make electricity."
falcon,n. 隼，猎鹰,3,Chapter 3 动物保护,/ˈfɔːlkən/,"A type of bird that is fast and sharp-eyed, often used for hunting.","For example, a person might train a large bird to catch small animals in the sky."
hawk,n. 鹰，隼,3,Chapter 3 动物保护,/hɔːk/,A type of bird that is strong and has sharp eyes to see far away. It often flies high in the sky.,"For example, a large bird with wings that can catch small animals in the air."
eagle,n. 雕,3,Chapter 3 动物保护,/ˈiːɡ(ə)l/,A large bird that can fly very high and has strong eyesight. It is often seen in the sky and is known for being powerful.,"For example, you might see a big bird flying over a mountain and call it an eagle."
owl,n. 猫头鹰,3,Chapter 3 动物保护,/aʊl/,A type of bird that is active at night and has big eyes.,"For example, you might see one sitting on a tree when you are outside at night."
swallow,v.咽下，吞下,3,Chapter 3 动物保护,/ˈswɒləʊ/,To move something into your stomach through your throat.,"For example, when you drink water, you move it from your mouth to your stomach."
sparrow,n. 麻雀,3,Chapter 3 动物保护,/ˈspærəʊ/,"A small bird that is often seen in cities and fields, usually with brown and white feathers.","For example, you might see one flying around a park or sitting on a wire."
pigeon,n. 鸽子,3,Chapter 3 动物保护,/ˈpɪdʒɪn/,A type of bird that is often seen in cities and is known for its white color and ability to fly long distances.,"For example, people often see them flying over parks or sitting on rooftops."
crow,n. 乌鸦,3,Chapter 3 动物保护,/krəʊ/,A type of bird that is usually black and often seen in fields or forests.,"For example, you might see a group of birds flying over a farm, and one of them is a crow."
swan,n. 天鹅,3,Chapter 3 动物保护,/swɒn/,"A large, white bird that lives in water and is known for its long neck and graceful movement.","For example, a large bird with a long neck swimming in a lake is often called a swan."
goose,n. 鹅；鹅肉,3,Chapter 3 动物保护,/ɡuːs/,A type of bird that lives on farms and has white feathers and a long neck.,"For example, a farmer might have a group of birds that are big and make loud noises, which are called geese."
cock,n. 雄禽；公鸡,3,Chapter 3 动物保护,/kɒk/,"A male bird, especially a male chicken that is not yet old.","For example, the farmer keeps a big red one in his yard to help take care of the other chickens."
mouse,n. 老鼠,3,Chapter 3 动物保护,/maʊs/,A small animal that has a long tail and lives in holes. It is often seen in houses or fields.,"For example, you might see a small brown animal running across the floor in a kitchen."
rat,n. 老鼠；卑鄙的人,3,Chapter 3 动物保护,/ræt/,A small animal that has a long tail and lives in holes. It is also used to describe a person who is not honest or trustworthy.,"For example, the thief ran away like a scared animal and left his bag behind."
squirrel,n. 松鼠,3,Chapter 3 动物保护,/ˈskwɪrəl/,A small animal with a bushy tail that lives in trees and collects nuts.,"For example, you might see one jumping from branch to branch in a park."
hare,n. 野兔,3,Chapter 3 动物保护,/heə(r)/,A small animal that lives in the wild and has long ears.,"For example, a big fox might chase a fast animal with long ears."
frog,n. 蛙,3,Chapter 3 动物保护,/frɒɡ/,"A small animal that lives in water or near water and has a smooth, wet skin. It jumps with its strong legs.","For example, you might see one sitting on a lily pad in a pond."
behaviour,( = behavior ) n. 行为；活动方式,3,Chapter 3 动物保护,/bɪˈheɪvjə(r)/,It is the way a person acts or behaves in a certain situation.,"For example, when you share your toys with a friend, that is good behaviour."
bite,v.咬；(昆虫)叮；吞饵 n. 咬伤,3,Chapter 3 动物保护,/baɪt/,To use your teeth to cut or hurt something.,"For example, a dog might bite someone if it feels scared."
sting,v. 刺，叮；(使)感觉刺痛 n. 刺，螫针；蜇痛,3,Chapter 3 动物保护,/stɪŋ/,"To cause a sharp, painful feeling, like when something touches your skin suddenly.","For example, if a bee lands on your arm, it can cause a sharp pain that feels like a small needle."
bark,v.(狗等)吠；大声嚷 n. 树皮,3,Chapter 3 动物保护,/bɑːk/,"It is the sound a dog makes when it says ""woof"" or the outside layer of a tree.","For example, the dog starts to bark when someone comes to the door."
roar,v. 吼叫，咆哮 n.吼叫声，咆哮声,3,Chapter 3 动物保护,/rɔː(r)/,"To make a loud, strong sound, usually because of anger or power.","For example, a lion makes a loud sound when it is angry."
rub,v. 擦；摩擦 n. 困难，障碍,3,Chapter 3 动物保护,/rʌb/,"To move one surface against another in a back-and-forth motion. Also, something that makes it hard to do something.","For example, you might rub your hands together to warm them up."
creep,v. 爬行；悄悄地缓慢行进,3,Chapter 3 动物保护,/kriːp/,"To move slowly and quietly, often on hands and knees.","For example, a cat might move quietly through the grass without making much noise."
crawl,v. 爬，爬行；卑躬屈膝，巴结,3,Chapter 3 动物保护,/krɔːl/,"To move on your hands and knees, like a baby or an animal.","For example, the baby was crawling across the floor to reach her toy."
habitat,n.(动植物的)生活环境，栖息地,3,Chapter 3 动物保护,/ˈhæbɪtæt/,A place where an animal or plant lives and grows in nature.,"For example, a forest is the home of many animals like deer and birds."
nest,n. 巢，窝，穴,3,Chapter 3 动物保护,/nest/,A place where a bird or animal lives and keeps its eggs.,"For example, a bird builds a safe place in a tree to lay its eggs."
hive,n. 蜂房；繁忙的场所 v.(使)(蜂)入蜂箱；(像蜜蜂般)密集群居,3,Chapter 3 动物保护,/haɪv/,A place where bees live and make honey. It is also used to describe a busy place where many people work together.,"For example, a beehive is where bees live and build their home. A city can sometimes be called a hive because it is full of people working hard."
cell,n. 蜂房巢室；细胞；单人牢房,3,Chapter 3 动物保护,/sel/,"A small room in a prison or a tiny part of something living, like the body.","For example, a bee lives in a small room called a cell inside a hive."
cage,n. 笼子,3,Chapter 3 动物保护,/keɪdʒ/,A cage is a container with bars or wires that keeps animals or small things inside.,"For example, a bird might live in a cage in a person's house."
stable,n. 马厩；牛棚 adj. 稳定的；稳固的,3,Chapter 3 动物保护,/ˈsteɪb(ə)l/,"A place where horses or other animals are kept, or something that does not change easily.","For example, a stable is where horses live, and a stable job is one that does not change much."
barn,n. 谷仓；牲口棚,3,Chapter 3 动物保护,/bɑːn/,A building where farmers keep animals or store things like hay and grain.,"For example, a farmer keeps cows in a big building called a barn."
hedge,n. 树篱；障碍物,3,Chapter 3 动物保护,/hedʒ/,"A hedge is a row of closely planted bushes or trees that grows tall and thick, often used to surround a garden or yard.","For example, many homes have a hedge around their yard to keep people from seeing inside."
barrier,n. 障碍；屏障，障碍物,3,Chapter 3 动物保护,/ˈbæriə(r)/,A thing that stops you from doing something or getting somewhere.,"For example, a tall fence can be a barrier between two yards."
bar,n.酒吧；吧台,3,Chapter 3 动物保护,/bɑː(r)/,"A place where people go to drink and relax, often with music and friends.","For example, a group of friends might go to a place where they can have drinks and talk."
anatomy,n. 解剖学,3,Chapter 3 动物保护,/əˈnætəmi/,"The study of the inside parts of living things, especially humans.","For example, students learn about the heart, lungs, and brain in their class on the inside of the body."
epidemic,n. 流行病；(坏事的)盛行 adj. 流行性的；极为盛行的,3,Chapter 3 动物保护,/ˌepɪˈdemɪk/,"A big spread of a bad thing, like a sickness that affects many people at the same time.","For example, a bad cough that spreads quickly in a school is called a big spread of sickness."
gene,n. 基因,3,Chapter 3 动物保护,/dʒiːn/,A part of a living thing that carries instructions for its body to grow and work properly.,"For example, your eye color is decided by parts of your body that you get from your parents."
germ,n. 微生物，细菌,3,Chapter 3 动物保护,/dʒɜːm/,A tiny living thing that can make people sick if it gets inside the body.,"For example, if you don't wash your hands, you might get a cold from touching a door handle with germs on it."
bacteria,n. [bacterium 的复数形式 ] 细菌,3,Chapter 3 动物保护,/bækˈtɪəriə/,"Tiny living things that can be found everywhere, like in water, soil, and even inside your body. Some of them can make you sick, but others are helpful.","For example, when you eat spoiled food, harmful tiny living things can grow in it and make you feel sick."
virus,n. 病毒,3,Chapter 3 动物保护,/ˈvaɪrəs/,A tiny germ that can make people sick and spread easily from one person to another.,"For example, when someone with a cold sneezes, it can spread to others through the air."
microbe,n. 微生物,3,Chapter 3 动物保护,/ˈmaɪkrəʊb/,A tiny living thing that can only be seen with a special tool called a microscope.,"For example, bacteria in the soil are tiny living things that help break down dead plants."
metabolism,n. 新陈代谢,3,Chapter 3 动物保护,/məˈtæbəlɪzəm/,The process your body uses to turn food into energy and keep your body working properly.,"For example, when you eat a banana, your body breaks it down and uses the energy to help you run and play."
protein,n. 蛋白质,3,Chapter 3 动物保护,/ˈprəʊtiːn/,A type of important food that helps your body grow and stay strong.,"For example, eggs and meat are good sources of this kind of food."
vitamin,n. 维生素,3,Chapter 3 动物保护,/ˈvɪtəmɪn/,A special kind of food that helps your body stay healthy and work properly.,"For example, eating oranges gives your body something it needs to fight sickness."
secrete,v. 分泌,3,Chapter 3 动物保护,/sɪˈkriːt/,"To make and release a substance inside the body, usually without using a tube or opening.","For example, the body makes sweat through the skin when it gets hot."
excrete,v. 排泄；分泌,3,Chapter 3 动物保护,/ɪkˈskriːt/,"To get rid of something the body doesn't need, like waste or extra water.","For example, when you urinate, your body is getting rid of extra water and waste."
devour,v. 吞食，狼吞虎咽地吃,3,Chapter 3 动物保护,/dɪˈvaʊə(r)/,To eat something very quickly and with a lot of hunger.,"For example, the hungry dog ate his food in seconds because he was so hungry."
instinct,n. 本能，天性；直觉,3,Chapter 3 动物保护,/ˈɪnstɪŋkt/,It is a natural feeling or ability that helps you know something without learning it first.,"For example, when you touch something hot, you pull your hand away without thinking."
intuitive,adj. 直觉的,3,Chapter 3 动物保护,/ɪnˈtjuːɪtɪv/,Something that feels easy to understand without needing to be taught or explained.,"For example, a child might feel intuitive about how to ride a bike because it just feels natural."
potential,n. 潜力 adj. 潜在的,3,Chapter 3 动物保护,/pəˈtenʃ(ə)l/,Something that someone or something might be able to do in the future.,"For example, a young athlete has the potential to become a great player if they practice hard."
intelligence,n. 智慧，智力；情报，谍报,3,Chapter 3 动物保护,/ɪnˈtelɪdʒəns/,"Intelligence is the ability to learn, understand, and think clearly. It can also mean secret information about others.","For example, a smart person has high intelligence, and spies collect intelligence to help their country."
functional,adj. 功能的；起作用的,3,Chapter 3 动物保护,/ˈfʌŋkʃən(ə)l/,Something that works properly or has a special purpose.,"For example, a working light is functional because it can shine bright when you turn it on."
sensitive,adj. 灵敏的；过敏的；易担忧的；(话题等)须谨慎对待的,3,Chapter 3 动物保护,/ˈsensətɪv/,Something that reacts easily to changes or feels things strongly. It can also mean something that needs to be handled carefully.,"For example, some people have sensitive skin and get red easily when they use the wrong soap."
flexible,adj. 可弯曲的；灵活的，易变通的,3,Chapter 3 动物保护,/ˈfleksəb(ə)l/,Something that is flexible can bend easily or change how it works. It can also mean someone who is open to new ideas or changes.,"For example, a flexible person can change their plan when something unexpected happens."
acoustic,adj. 听觉的；声音的,3,Chapter 3 动物保护,/əˈkuːstɪk/,Something that relates to how sounds are heard or made by the ears.,"For example, an acoustic guitar makes sound through the vibrations of its strings and body."
optical,adj. 视觉的；光学的,3,Chapter 3 动物保护,/ˈɒptɪk(ə)l/,Something that relates to sight or the way light works,"For example, glasses help people see more clearly by changing how light enters their eyes."
nocturnal,adj. 夜间发生的；夜间活动的,3,Chapter 3 动物保护,/nɒkˈtɜːn(ə)l/,Something that happens or is active during the night.,"For example, some animals like owls are awake and hunt when it is dark outside."
